County,Years,Count
Florida,2020,3113
Alachua,2020,33
Baker,2020,4
Bay,2020,41
Bradford,2020,6
Brevard,2020,117
Broward,2020,222
Calhoun,2020,1
Charlotte,2020,37
Citrus,2020,38
Clay,2020,29
Collier,2020,60
Columbia,2020,16
Miami-Dade,2020,215
DeSoto,2020,3
Dixie,2020,5
Duval,2020,158
Escambia,2020,66
Flagler,2020,25
Franklin,2020,0
Gadsden,2020,5
Gilchrist,2020,5
Glades,2020,2
Gulf,2020,4
Hamilton,2020,5
Hardee,2020,2
Hendry,2020,5
Hernando,2020,36
Highlands,2020,22
Hillsborough,2020,187
Holmes,2020,7
Indian River,2020,31
Jackson,2020,12
Jefferson,2020,4
Lafayette,2020,0
Lake,2020,72
Lee,2020,130
Leon,2020,41
Levy,2020,6
Liberty,2020,1
Madison,2020,3
Manatee,2020,67
Marion,2020,85
Martin,2020,29
Monroe,2020,25
Nassau,2020,20
Okaloosa,2020,40
Okeechobee,2020,6
Orange,2020,132
Osceola,2020,37
Palm Beach,2020,171
Pasco,2020,103
Pinellas,2020,175
Polk,2020,94
Putnam,2020,22
St. Johns,2020,46
St. Lucie,2020,40
Santa Rosa,2020,48
Sarasota,2020,78
Seminole,2020,60
Sumter,2020,16
Suwannee,2020,10
Taylor,2020,4
Union,2020,5
Volusia,2020,118
Wakulla,2020,5
Walton,2020,9
Washington,2020,5
Florida,2019,3427
Alachua,2019,31
Baker,2019,5
Bay,2019,35
Bradford,2019,6
Brevard,2019,137
Broward,2019,241
Calhoun,2019,1
Charlotte,2019,50
Citrus,2019,46
Clay,2019,43
Collier,2019,45
Columbia,2019,20
Miami-Dade,2019,268
DeSoto,2019,5
Dixie,2019,4
Duval,2019,177
Escambia,2019,53
Flagler,2019,25
Franklin,2019,3
Gadsden,2019,12
Gilchrist,2019,4
Glades,2019,4
Gulf,2019,7
Hamilton,2019,3
Hardee,2019,4
Hendry,2019,9
Hernando,2019,43
Highlands,2019,27
Hillsborough,2019,216
Holmes,2019,2
Indian River,2019,29
Jackson,2019,5
Jefferson,2019,4
Lafayette,2019,0
Lake,2019,78
Lee,2019,124
Leon,2019,33
Levy,2019,3
Liberty,2019,1
Madison,2019,6
Manatee,2019,76
Marion,2019,79
Martin,2019,32
Monroe,2019,22
Nassau,2019,17
Okaloosa,2019,37
Okeechobee,2019,8
Orange,2019,140
Osceola,2019,52
Palm Beach,2019,229
Pasco,2019,119
Pinellas,2019,189
Polk,2019,129
Putnam,2019,12
St. Johns,2019,53
St. Lucie,2019,47
Santa Rosa,2019,35
Sarasota,2019,86
Seminole,2019,53
Sumter,2019,35
Suwannee,2019,12
Taylor,2019,2
Union,2019,1
Volusia,2019,128
Wakulla,2019,4
Walton,2019,14
Washington,2019,4
Florida,2018,3552
Alachua,2018,42
Baker,2018,5
Bay,2018,51
Bradford,2018,5
Brevard,2018,128
Broward,2018,260
Calhoun,2018,2
Charlotte,2018,35
Citrus,2018,51
Clay,2018,39
Collier,2018,55
Columbia,2018,18
Miami-Dade,2018,278
DeSoto,2018,8
Dixie,2018,3
Duval,2018,164
Escambia,2018,50
Flagler,2018,29
Franklin,2018,2
Gadsden,2018,7
Gilchrist,2018,5
Glades,2018,1
Gulf,2018,3
Hamilton,2018,1
Hardee,2018,5
Hendry,2018,5
Hernando,2018,33
Highlands,2018,29
Hillsborough,2018,217
Holmes,2018,3
Indian River,2018,31
Jackson,2018,11
Jefferson,2018,2
Lafayette,2018,0
Lake,2018,77
Lee,2018,130
Leon,2018,34
Levy,2018,11
Liberty,2018,2
Madison,2018,1
Manatee,2018,70
Marion,2018,91
Martin,2018,40
Monroe,2018,35
Nassau,2018,18
Okaloosa,2018,43
Okeechobee,2018,8
Orange,2018,147
Osceola,2018,42
Palm Beach,2018,247
Pasco,2018,119
Pinellas,2018,219
Polk,2018,103
Putnam,2018,24
St. Johns,2018,56
St. Lucie,2018,55
Santa Rosa,2018,38
Sarasota,2018,104
Seminole,2018,66
Sumter,2018,21
Suwannee,2018,9
Taylor,2018,6
Union,2018,3
Volusia,2018,125
Wakulla,2018,7
Walton,2018,10
Washington,2018,9
Florida,2017,3187
Alachua,2017,32
Baker,2017,2
Bay,2017,44
Bradford,2017,2
Brevard,2017,141
Broward,2017,217
Calhoun,2017,3
Charlotte,2017,31
Citrus,2017,37
Clay,2017,38
Collier,2017,57
Columbia,2017,11
Miami-Dade,2017,241
DeSoto,2017,5
Dixie,2017,2
Duval,2017,155
Escambia,2017,75
Flagler,2017,31
Franklin,2017,2
Gadsden,2017,3
Gilchrist,2017,3
Glades,2017,1
Gulf,2017,0
Hamilton,2017,0
Hardee,2017,1
Hendry,2017,5
Hernando,2017,34
Highlands,2017,27
Hillsborough,2017,191
Holmes,2017,5
Indian River,2017,34
Jackson,2017,9
Jefferson,2017,1
Lafayette,2017,0
Lake,2017,87
Lee,2017,114
Leon,2017,35
Levy,2017,7
Liberty,2017,1
Madison,2017,3
Manatee,2017,67
Marion,2017,81
Martin,2017,26
Monroe,2017,20
Nassau,2017,13
Okaloosa,2017,46
Okeechobee,2017,6
Orange,2017,146
Osceola,2017,44
Palm Beach,2017,199
Pasco,2017,95
Pinellas,2017,178
Polk,2017,99
Putnam,2017,18
St. Johns,2017,48
St. Lucie,2017,48
Santa Rosa,2017,31
Sarasota,2017,88
Seminole,2017,57
Sumter,2017,17
Suwannee,2017,13
Taylor,2017,6
Union,2017,4
Volusia,2017,123
Wakulla,2017,8
Walton,2017,12
Washington,2017,5
Florida,2016,3122
Alachua,2016,32
Baker,2016,5
Bay,2016,45
Bradford,2016,1
Brevard,2016,134
Broward,2016,243
Calhoun,2016,2
Charlotte,2016,38
Citrus,2016,29
Clay,2016,38
Collier,2016,45
Columbia,2016,9
Miami-Dade,2016,241
DeSoto,2016,8
Dixie,2016,2
Duval,2016,131
Escambia,2016,61
Flagler,2016,20
Franklin,2016,2
Gadsden,2016,3
Gilchrist,2016,3
Glades,2016,4
Gulf,2016,2
Hamilton,2016,2
Hardee,2016,6
Hendry,2016,5
Hernando,2016,38
Highlands,2016,24
Hillsborough,2016,163
Holmes,2016,4
Indian River,2016,29
Jackson,2016,3
Jefferson,2016,2
Lafayette,2016,0
Lake,2016,52
Lee,2016,113
Leon,2016,26
Levy,2016,5
Liberty,2016,1
Madison,2016,0
Manatee,2016,81
Marion,2016,64
Martin,2016,34
Monroe,2016,19
Nassau,2016,21
Okaloosa,2016,42
Okeechobee,2016,8
Orange,2016,126
Osceola,2016,36
Palm Beach,2016,230
Pasco,2016,104
Pinellas,2016,214
Polk,2016,87
Putnam,2016,15
St. Johns,2016,43
St. Lucie,2016,51
Santa Rosa,2016,43
Sarasota,2016,91
Seminole,2016,71
Sumter,2016,19
Suwannee,2016,6
Taylor,2016,4
Union,2016,6
Volusia,2016,103
Wakulla,2016,7
Walton,2016,15
Washington,2016,8
Florida,2015,3152
Alachua,2015,31
Baker,2015,3
Bay,2015,37
Bradford,2015,7
Brevard,2015,139
Broward,2015,220
Calhoun,2015,1
Charlotte,2015,37
Citrus,2015,30
Clay,2015,30
Collier,2015,44
Columbia,2015,10
Miami-Dade,2015,261
DeSoto,2015,7
Dixie,2015,5
Duval,2015,161
Escambia,2015,53
Flagler,2015,26
Franklin,2015,3
Gadsden,2015,7
Gilchrist,2015,4
Glades,2015,3
Gulf,2015,7
Hamilton,2015,1
Hardee,2015,4
Hendry,2015,9
Hernando,2015,39
Highlands,2015,18
Hillsborough,2015,199
Holmes,2015,3
Indian River,2015,17
Jackson,2015,11
Jefferson,2015,3
Lafayette,2015,1
Lake,2015,52
Lee,2015,121
Leon,2015,33
Levy,2015,12
Liberty,2015,0
Madison,2015,3
Manatee,2015,61
Marion,2015,78
Martin,2015,22
Monroe,2015,21
Nassau,2015,18
Okaloosa,2015,37
Okeechobee,2015,4
Orange,2015,136
Osceola,2015,29
Palm Beach,2015,229
Pasco,2015,103
Pinellas,2015,199
Polk,2015,97
Putnam,2015,12
St. Johns,2015,40
St. Lucie,2015,54
Santa Rosa,2015,29
Sarasota,2015,96
Seminole,2015,56
Sumter,2015,13
Suwannee,2015,10
Taylor,2015,4
Union,2015,3
Volusia,2015,124
Wakulla,2015,4
Walton,2015,11
Washington,2015,3
Florida,2014,2961
Alachua,2014,37
Baker,2014,5
Bay,2014,43
Bradford,2014,3
Brevard,2014,114
Broward,2014,214
Calhoun,2014,1
Charlotte,2014,28
Citrus,2014,33
Clay,2014,37
Collier,2014,36
Columbia,2014,14
Miami-Dade,2014,235
DeSoto,2014,7
Dixie,2014,4
Duval,2014,119
Escambia,2014,58
Flagler,2014,20
Franklin,2014,0
Gadsden,2014,7
Gilchrist,2014,4
Glades,2014,3
Gulf,2014,4
Hamilton,2014,2
Hardee,2014,3
Hendry,2014,5
Hernando,2014,31
Highlands,2014,23
Hillsborough,2014,185
Holmes,2014,4
Indian River,2014,26
Jackson,2014,7
Jefferson,2014,1
Lafayette,2014,0
Lake,2014,49
Lee,2014,144
Leon,2014,29
Levy,2014,12
Liberty,2014,1
Madison,2014,2
Manatee,2014,57
Marion,2014,63
Martin,2014,24
Monroe,2014,13
Nassau,2014,15
Okaloosa,2014,25
Okeechobee,2014,8
Orange,2014,128
Osceola,2014,34
Palm Beach,2014,236
Pasco,2014,114
Pinellas,2014,195
Polk,2014,82
Putnam,2014,14
St. Johns,2014,41
St. Lucie,2014,46
Santa Rosa,2014,32
Sarasota,2014,64
Seminole,2014,53
Sumter,2014,20
Suwannee,2014,9
Taylor,2014,4
Union,2014,1
Volusia,2014,106
Wakulla,2014,6
Walton,2014,9
Washington,2014,4
Florida,2013,2892
Alachua,2013,31
Baker,2013,1
Bay,2013,35
Bradford,2013,6
Brevard,2013,126
Broward,2013,210
Calhoun,2013,0
Charlotte,2013,29
Citrus,2013,42
Clay,2013,30
Collier,2013,37
Columbia,2013,13
Miami-Dade,2013,215
DeSoto,2013,5
Dixie,2013,2
Duval,2013,130
Escambia,2013,49
Flagler,2013,17
Franklin,2013,1
Gadsden,2013,8
Gilchrist,2013,2
Glades,2013,1
Gulf,2013,3
Hamilton,2013,1
Hardee,2013,4
Hendry,2013,1
Hernando,2013,40
Highlands,2013,27
Hillsborough,2013,167
Holmes,2013,3
Indian River,2013,28
Jackson,2013,5
Jefferson,2013,1
Lafayette,2013,0
Lake,2013,43
Lee,2013,100
Leon,2013,36
Levy,2013,12
Liberty,2013,0
Madison,2013,4
Manatee,2013,69
Marion,2013,75
Martin,2013,32
Monroe,2013,32
Nassau,2013,19
Okaloosa,2013,44
Okeechobee,2013,5
Orange,2013,122
Osceola,2013,28
Palm Beach,2013,214
Pasco,2013,92
Pinellas,2013,168
Polk,2013,82
Putnam,2013,17
St. Johns,2013,42
St. Lucie,2013,41
Santa Rosa,2013,29
Sarasota,2013,85
Seminole,2013,61
Sumter,2013,24
Suwannee,2013,7
Taylor,2013,7
Union,2013,6
Volusia,2013,105
Wakulla,2013,5
Walton,2013,13
Washington,2013,1
Florida,2012,2922
Alachua,2012,35
Baker,2012,3
Bay,2012,37
Bradford,2012,7
Brevard,2012,123
Broward,2012,237
Calhoun,2012,3
Charlotte,2012,35
Citrus,2012,33
Clay,2012,33
Collier,2012,46
Columbia,2012,10
Miami-Dade,2012,222
DeSoto,2012,7
Dixie,2012,3
Duval,2012,151
Escambia,2012,57
Flagler,2012,11
Franklin,2012,2
Gadsden,2012,7
Gilchrist,2012,5
Glades,2012,1
Gulf,2012,2
Hamilton,2012,4
Hardee,2012,4
Hendry,2012,2
Hernando,2012,31
Highlands,2012,18
Hillsborough,2012,162
Holmes,2012,8
Indian River,2012,27
Jackson,2012,10
Jefferson,2012,2
Lafayette,2012,1
Lake,2012,50
Lee,2012,105
Leon,2012,45
Levy,2012,9
Liberty,2012,1
Madison,2012,3
Manatee,2012,49
Marion,2012,67
Martin,2012,30
Monroe,2012,19
Nassau,2012,17
Okaloosa,2012,37
Okeechobee,2012,7
Orange,2012,130
Osceola,2012,30
Palm Beach,2012,205
Pasco,2012,79
Pinellas,2012,197
Polk,2012,65
Putnam,2012,11
St. Johns,2012,40
St. Lucie,2012,48
Santa Rosa,2012,33
Sarasota,2012,80
Seminole,2012,54
Sumter,2012,10
Suwannee,2012,9
Taylor,2012,3
Union,2012,2
Volusia,2012,121
Wakulla,2012,7
Walton,2012,13
Washington,2012,6
Florida,2011,2765
Alachua,2011,26
Baker,2011,3
Bay,2011,33
Bradford,2011,5
Brevard,2011,103
Broward,2011,233
Calhoun,2011,4
Charlotte,2011,29
Citrus,2011,43
Clay,2011,24
Collier,2011,32
Columbia,2011,13
Miami-Dade,2011,206
DeSoto,2011,5
Dixie,2011,5
Duval,2011,127
Escambia,2011,36
Flagler,2011,15
Franklin,2011,0
Gadsden,2011,6
Gilchrist,2011,5
Glades,2011,3
Gulf,2011,3
Hamilton,2011,1
Hardee,2011,2
Hendry,2011,1
Hernando,2011,48
Highlands,2011,16
Hillsborough,2011,161
Holmes,2011,4
Indian River,2011,16
Jackson,2011,7
Jefferson,2011,0
Lafayette,2011,1
Lake,2011,46
Lee,2011,103
Leon,2011,29
Levy,2011,8
Liberty,2011,0
Madison,2011,0
Manatee,2011,51
Marion,2011,68
Martin,2011,39
Monroe,2011,24
Nassau,2011,15
Okaloosa,2011,30
Okeechobee,2011,10
Orange,2011,113
Osceola,2011,40
Palm Beach,2011,198
Pasco,2011,107
Pinellas,2011,172
Polk,2011,85
Putnam,2011,10
St. Johns,2011,26
St. Lucie,2011,54
Santa Rosa,2011,32
Sarasota,2011,75
Seminole,2011,54
Sumter,2011,11
Suwannee,2011,7
Taylor,2011,2
Union,2011,1
Volusia,2011,102
Wakulla,2011,8
Walton,2011,16
Washington,2011,9
