County,Years,Rate
Florida,2020,13.1031885450727
Alachua,2020,12.1820549904806
Baker,2020,14.9890508452651
Bay,2020,22.5762001060134
Bradford,2020,20.6755271410424
Brevard,2020,16.5950644517994
Broward,2020,10.4270062924207
Calhoun,2020,6.67518463810931
Charlotte,2020,15.6225400712606
Citrus,2020,23.8974495697919
Clay,2020,13.0301902565269
Collier,2020,15.7551911655871
Columbia,2020,22.5221542225165
Miami-Dade,2020,6.78776398603505
DeSoto,2020,10.0434743919886
Dixie,2020,27.3518655091782
Duval,2020,15.513927520878
Escambia,2020,19.2538340909879
Flagler,2020,20.8745498246244
Franklin,2020,0
Gadsden,2020,7.49797094763818
Gilchrist,2020,27.0759110486427
Glades,2020,14.8527713260099
Gulf,2020,21.9824444462666
Hamilton,2020,31.0840903539375
Hardee,2020,6.24189425548669
Hendry,2020,11.9314980860805
Hernando,2020,17.874553012151
Highlands,2020,25.2134654188184
Hillsborough,2020,12.2021005415957
Holmes,2020,35.1458215977552
Indian River,2020,16.5524350568376
Jackson,2020,26.2189420167255
Jefferson,2020,29.4668496873462
Lafayette,2020,0
Lake,2020,17.8124169730461
Lee,2020,15.0978297355464
Leon,2020,12.6185778941165
Levy,2020,15.623530394319
Liberty,2020,13.7273269093616
Madison,2020,15.2967275321937
Manatee,2020,14.2047603776641
Marion,2020,21.921267742309
Martin,2020,13.8850835533843
Monroe,2020,27.2401273755596
Nassau,2020,22.668541091782
Okaloosa,2020,19.859664921901
Okeechobee,2020,15.1787490695566
Orange,2020,8.9037644051223
Osceola,2020,9.23550499140327
Palm Beach,2020,10.3256176649384
Pasco,2020,17.3139879983203
Pinellas,2020,16.5186783157525
Polk,2020,12.8371135079088
Putnam,2020,31.5830717882865
St. Johns,2020,16.4585376737132
St. Lucie,2020,11.1994110572844
Santa Rosa,2020,25.8063347097045
Sarasota,2020,15.9202073876387
Seminole,2020,11.4290115544983
Sumter,2020,7.03190165361163
Suwannee,2020,19.6003683584799
Taylor,2020,13.0037142687446
Union,2020,36.554304343006
Volusia,2020,19.4746456751127
Wakulla,2020,13.3913214621485
Walton,2020,11.0440505676167
Washington,2020,18.069471813427
Florida,2019,14.4931912942018
Alachua,2019,11.9216193025763
Baker,2019,16.0740822170511
Bay,2019,17.9224439826241
Bradford,2019,22.3828635224474
Brevard,2019,19.5498531230775
Broward,2019,11.222617943622
Calhoun,2019,5.14243119266055
Charlotte,2019,24.0361027849596
Citrus,2019,26.1746208011159
Clay,2019,18.139533690176
Collier,2019,11.9198449953101
Columbia,2019,28.644976711571
Miami-Dade,2019,8.58004389772519
DeSoto,2019,11.1008568651041
Dixie,2019,15.4043646124572
Duval,2019,17.3791361933608
Escambia,2019,15.5640158193753
Flagler,2019,19.3232067610539
Franklin,2019,29.8355239687023
Gadsden,2019,27.4478016618387
Gilchrist,2019,23.0640062406034
Glades,2019,34.4424220997833
Gulf,2019,36.8037803354834
Hamilton,2019,26.1975247775549
Hardee,2019,14.0538403550995
Hendry,2019,21.1008142232338
Hernando,2019,19.9417551487892
Highlands,2019,23.2656777949789
Hillsborough,2019,14.108245200546
Holmes,2019,8.5978821681701
Indian River,2019,16.4959546144224
Jackson,2019,9.17784020641169
Jefferson,2019,18.1916179056843
Lafayette,2019,0
Lake,2019,19.9586088972118
Lee,2019,14.7699404593929
Leon,2019,11.1274117398469
Levy,2019,6.70182541746867
Liberty,2019,10.4283720930233
Madison,2019,31.8384253910595
Manatee,2019,17.2287129771777
Marion,2019,18.9842064168925
Martin,2019,15.9779774093591
Monroe,2019,24.5345837921137
Nassau,2019,20.0210547833851
Okaloosa,2019,18.3259775967296
Okeechobee,2019,21.9413509946894
Orange,2019,9.58759822804735
Osceola,2019,13.7692241615498
Palm Beach,2019,13.9082768123659
Pasco,2019,20.7833019776578
Pinellas,2019,16.641015421272
Polk,2019,17.3353750942137
Putnam,2019,13.8650932386434
St. Johns,2019,18.31873778086
St. Lucie,2019,13.3706342975304
Santa Rosa,2019,18.7703122583186
Sarasota,2019,19.0963830552539
Seminole,2019,10.4431070772414
Sumter,2019,25.4079723619066
Suwannee,2019,23.5872707646664
Taylor,2019,9.03056323064817
Union,2019,6.14277904328018
Volusia,2019,21.071739822371
Wakulla,2019,9.61368692758634
Walton,2019,17.9685742014233
Washington,2019,16.1325182157242
Florida,2018,15.3231976307436
Alachua,2018,16.5333201432054
Baker,2018,18.4138719425601
Bay,2018,23.8904868156437
Bradford,2018,16.0455824308845
Brevard,2018,19.665621117669
Broward,2018,12.4980734541804
Calhoun,2018,14.2966758010166
Charlotte,2018,17.9100820302265
Citrus,2018,30.8808146984857
Clay,2018,18.0360460477709
Collier,2018,12.0060579589741
Columbia,2018,23.1340706825392
Miami-Dade,2018,9.07397308902538
DeSoto,2018,19.9123672732507
Dixie,2018,9.70051156956244
Duval,2018,16.8542387121448
Escambia,2018,15.9393050372761
Flagler,2018,24.7736170554593
Franklin,2018,11.5924755844713
Gadsden,2018,17.1975600267034
Gilchrist,2018,20.2305956834236
Glades,2018,10.1696685428393
Gulf,2018,15.8452308863681
Hamilton,2018,6.1092643051771
Hardee,2018,19.9048207496371
Hendry,2018,12.929177598417
Hernando,2018,17.3929367393631
Highlands,2018,28.6225498579606
Hillsborough,2018,14.2788227512122
Holmes,2018,11.8896207873636
Indian River,2018,16.9706142020482
Jackson,2018,20.0538718203023
Jefferson,2018,13.3569527970573
Lafayette,2018,0
Lake,2018,21.3004018771424
Lee,2018,16.95280275025
Leon,2018,12.331383412655
Levy,2018,24.939462435599
Liberty,2018,22.0076189152342
Madison,2018,4.98430147058823
Manatee,2018,15.0847080972115
Marion,2018,24.9663697359692
Martin,2018,19.1671305086403
Monroe,2018,34.8660303737174
Nassau,2018,21.7424273570309
Okaloosa,2018,20.9107409660789
Okeechobee,2018,15.6889174277531
Orange,2018,10.4259044215171
Osceola,2018,11.5262939768972
Palm Beach,2018,15.4209399822563
Pasco,2018,21.349703662403
Pinellas,2018,19.7164532237764
Polk,2018,14.6111749711004
Putnam,2018,29.6474580532707
St. Johns,2018,22.0490533640719
St. Lucie,2018,15.0445466020199
Santa Rosa,2018,20.1629981479401
Sarasota,2018,21.1848753657289
Seminole,2018,12.9017495004608
Sumter,2018,11.0601355823519
Suwannee,2018,19.2913724808188
Taylor,2018,21.2348407093239
Union,2018,20.022661012946
Volusia,2018,19.3718942846058
Wakulla,2018,21.982360970903
Walton,2018,12.5550771624632
Washington,2018,33.5875217864424
Florida,2017,14.0667659221825
Alachua,2017,12.5504699385547
Baker,2017,7.22944965208425
Bay,2017,22.9013765760854
Bradford,2017,4.66686279753945
Brevard,2017,21.1844422648767
Broward,2017,10.8735223894645
Calhoun,2017,15.4257286017988
Charlotte,2017,15.8688498589824
Citrus,2017,21.1294253865751
Clay,2017,17.5037608177392
Collier,2017,14.9478004297641
Columbia,2017,14.3480710040611
Miami-Dade,2017,7.85416569360521
DeSoto,2017,12.5764497233159
Dixie,2017,9.25919813669483
Duval,2017,15.7428989947811
Escambia,2017,24.7707698913616
Flagler,2017,28.7986493375452
Franklin,2017,10.9854337575983
Gadsden,2017,6.30578771923567
Gilchrist,2017,15.7254247029274
Glades,2017,8.17175757575758
Gulf,2017,0
Hamilton,2017,0
Hardee,2017,4.03573780305298
Hendry,2017,12.6973839974294
Hernando,2017,15.7874764135386
Highlands,2017,20.8568566305389
Hillsborough,2017,12.8334170824971
Holmes,2017,18.37471333806
Indian River,2017,23.7155884058118
Jackson,2017,16.1669518370278
Jefferson,2017,3.66584033613445
Lafayette,2017,0
Lake,2017,23.7509431018856
Lee,2017,14.269795095291
Leon,2017,11.7216214938961
Levy,2017,14.5063243276406
Liberty,2017,13.1116959064328
Madison,2017,13.3867271585974
Manatee,2017,15.4405499810275
Marion,2017,21.9040023903208
Martin,2017,14.8281195058213
Monroe,2017,22.185398313739
Nassau,2017,14.6052746883028
Okaloosa,2017,22.4568481435073
Okeechobee,2017,13.5147566498341
Orange,2017,10.8049190727056
Osceola,2017,12.6313822998871
Palm Beach,2017,12.2100345240484
Pasco,2017,17.1507643926727
Pinellas,2017,16.9281620581474
Polk,2017,13.9812934135815
Putnam,2017,23.3293964130703
St. Johns,2017,17.2731822084828
St. Lucie,2017,14.1309473564805
Santa Rosa,2017,16.9546695520885
Sarasota,2017,19.4415865213748
Seminole,2017,11.8130815197426
Sumter,2017,11.9516870925295
Suwannee,2017,28.67907836533
Taylor,2017,25.3920628242383
Union,2017,20.0813944009204
Volusia,2017,23.4316964283556
Wakulla,2017,23.7079291727167
Walton,2017,16.8220754845335
Washington,2017,20.1317996351729
Florida,2016,14.1025488149792
Alachua,2016,13.5435282007923
Baker,2016,16.8979215752888
Bay,2016,25.1777104368502
Bradford,2016,3.62554450121001
Brevard,2016,23.1532221045732
Broward,2016,12.1674282023014
Calhoun,2016,15.028915484249
Charlotte,2016,17.7398016927372
Citrus,2016,19.9046048245548
Clay,2016,18.1048636386457
Collier,2016,10.5037253664079
Columbia,2016,13.8504496385137
Miami-Dade,2016,7.98962507734167
DeSoto,2016,17.9310695138125
Dixie,2016,11.7529041444432
Duval,2016,13.1429252313184
Escambia,2016,19.3640832637297
Flagler,2016,21.1771568346982
Franklin,2016,12.8246400122549
Gadsden,2016,5.52367620123551
Gilchrist,2016,23.210126747236
Glades,2016,32.1453488774098
Gulf,2016,10.202119335133
Hamilton,2016,13.3171759276964
Hardee,2016,21.9601440773013
Hendry,2016,13.5466011433717
Hernando,2016,19.1748819468423
Highlands,2016,17.9968669627669
Hillsborough,2016,11.55010587346
Holmes,2016,16.3902553553943
Indian River,2016,13.9919781469633
Jackson,2016,6.32507961878849
Jefferson,2016,13.6392846034708
Lafayette,2016,0
Lake,2016,12.5737663486071
Lee,2016,15.1161990755774
Leon,2016,8.79927251786871
Levy,2016,8.99667517484632
Liberty,2016,9.04422948632421
Madison,2016,0
Manatee,2016,20.6951276799687
Marion,2016,16.823965001363
Martin,2016,21.0435826912521
Monroe,2016,24.0825323572919
Nassau,2016,30.5313641565689
Okaloosa,2016,23.4541752648152
Okeechobee,2016,15.5131314808237
Orange,2016,9.76139457502299
Osceola,2016,11.0098670136722
Palm Beach,2016,15.2441302031361
Pasco,2016,18.0476239649459
Pinellas,2016,19.5877035632433
Polk,2016,12.7954415372986
Putnam,2016,20.7472891056258
St. Johns,2016,16.191419848493
St. Lucie,2016,15.7025637616961
Santa Rosa,2016,25.0075300738302
Sarasota,2016,19.6894705135941
Seminole,2016,14.3549895556683
Sumter,2016,14.312631821348
Suwannee,2016,10.6746769587906
Taylor,2016,14.1505107222247
Union,2016,33.0880152925378
Volusia,2016,18.201780955104
Wakulla,2016,21.1071657926241
Walton,2016,23.8638645599435
Washington,2016,26.8561671834329
Florida,2015,14.4467646444315
Alachua,2015,12.9086123020983
Baker,2015,9.21712054891985
Bay,2015,20.1118158651741
Bradford,2015,28.2464136825012
Brevard,2015,22.0981699862042
Broward,2015,11.1013255504291
Calhoun,2015,8.29222493493688
Charlotte,2015,20.7507336711799
Citrus,2015,18.2355418808822
Clay,2015,13.741000398501
Collier,2015,11.1874108893289
Columbia,2015,14.1693479692049
Miami-Dade,2015,8.84202354959136
DeSoto,2015,17.3961348741564
Dixie,2015,23.9043157128865
Duval,2015,17.4059793889308
Escambia,2015,16.3845605769347
Flagler,2015,24.6849319437831
Franklin,2015,19.1040959470637
Gadsden,2015,11.5327739155824
Gilchrist,2015,17.0441543401168
Glades,2015,23.0006284807903
Gulf,2015,36.1484449777713
Hamilton,2015,7.14293993677555
Hardee,2015,13.3734196749817
Hendry,2015,23.8676031854187
Hernando,2015,21.1726736888514
Highlands,2015,16.6494379839658
Hillsborough,2015,14.2905143730635
Holmes,2015,15.5489956378512
Indian River,2015,7.92929445174122
Jackson,2015,21.8801315452148
Jefferson,2015,21.9592006848691
Lafayette,2015,11.1547263681592
Lake,2015,13.583948754996
Lee,2015,16.6976361166222
Leon,2015,12.1495872260822
Levy,2015,22.4200633918023
Liberty,2015,0
Madison,2015,14.8454052375818
Manatee,2015,15.2512736504935
Marion,2015,23.5974333659008
Martin,2015,10.2549889802953
Monroe,2015,23.8084223413665
Nassau,2015,20.0767188524593
Okaloosa,2015,18.2841891819018
Okeechobee,2015,10.7358076317654
Orange,2015,10.5130203049391
Osceola,2015,9.63781189497981
Palm Beach,2015,15.5394473115819
Pasco,2015,18.316048557151
Pinellas,2015,17.9634948440959
Polk,2015,14.5413329456669
Putnam,2015,14.8722366073311
St. Johns,2015,18.5494877403998
St. Lucie,2015,18.0503647561293
Santa Rosa,2015,17.3252374390104
Sarasota,2015,20.8378492276309
Seminole,2015,10.9585498700871
Sumter,2015,13.9489129375337
Suwannee,2015,20.0228234931299
Taylor,2015,14.1763516543387
Union,2015,28.0792995850035
Volusia,2015,22.3282048325425
Wakulla,2015,14.0714376397336
Walton,2015,19.7448412338514
Washington,2015,13.3031263033079
Florida,2014,13.7594023867004
Alachua,2014,13.516771228255
Baker,2014,19.1116959353898
Bay,2014,24.1599976794274
Bradford,2014,11.7368537261572
Brevard,2014,17.1555864990184
Broward,2014,10.6154342436756
Calhoun,2014,8.34768993839834
Charlotte,2014,18.7998528615566
Citrus,2014,24.0712545240653
Clay,2014,17.9638515800921
Collier,2014,9.62404293400492
Columbia,2014,20.2609080835578
Miami-Dade,2014,8.1838974797822
DeSoto,2014,18.4554402647333
Dixie,2014,15.024607196469
Duval,2014,12.8080263386238
Escambia,2014,18.2160474677539
Flagler,2014,17.401962425646
Franklin,2014,0
Gadsden,2014,13.3461304912636
Gilchrist,2014,18.3607620456622
Glades,2014,18.2382612046224
Gulf,2014,26.9619799578147
Hamilton,2014,13.536006865299
Hardee,2014,9.39636608853484
Hendry,2014,13.7648041333612
Hernando,2014,17.057664407956
Highlands,2014,20.660959053323
Hillsborough,2014,13.5211041861319
Holmes,2014,18.3900261854932
Indian River,2014,14.8168008694558
Jackson,2014,11.5853816923817
Jefferson,2014,6.04365755266697
Lafayette,2014,0
Lake,2014,13.738755063199
Lee,2014,20.6115129705686
Leon,2014,11.5817222784639
Levy,2014,25.8682028662232
Liberty,2014,10.8613486842105
Madison,2014,10.3713231851021
Manatee,2014,15.522970716937
Marion,2014,15.89821287003
Martin,2014,14.8681052608336
Monroe,2014,13.7740220385117
Nassau,2014,20.3183802780021
Okaloosa,2014,13.2900695714618
Okeechobee,2014,19.8634022572068
Orange,2014,10.0021858988853
Osceola,2014,11.0875186632318
Palm Beach,2014,14.949345953166
Pasco,2014,22.3767769053311
Pinellas,2014,17.3140481247351
Polk,2014,12.3039710183185
Putnam,2014,19.6539153054384
St. Johns,2014,17.4698905088544
St. Lucie,2014,15.3211515053933
Santa Rosa,2014,19.2508019072242
Sarasota,2014,15.7535359518874
Seminole,2014,11.4884793402108
Sumter,2014,18.411248101988
Suwannee,2014,17.059685158344
Taylor,2014,16.2844065256384
Union,2014,7.59164332399627
Volusia,2014,19.2834502464971
Wakulla,2014,16.7383824558969
Walton,2014,13.8546135616414
Washington,2014,14.7520581458684
Florida,2013,13.7521234043886
Alachua,2013,12.8311746224321
Baker,2013,3.49310880829016
Bay,2013,18.3985603192476
Bradford,2013,19.6703844525825
Brevard,2013,21.3906112748377
Broward,2013,10.7291297374313
Calhoun,2013,0
Charlotte,2013,14.8957967492729
Citrus,2013,25.0651274793022
Clay,2013,16.2159425364939
Collier,2013,9.96950467503998
Columbia,2013,18.4357956623945
Miami-Dade,2013,7.81768372583533
DeSoto,2013,12.8755290155002
Dixie,2013,12.073700110281
Duval,2013,14.5230921177682
Escambia,2013,16.3948825806206
Flagler,2013,16.9489823995592
Franklin,2013,7.47782680639823
Gadsden,2013,15.8368812814698
Gilchrist,2013,17.6753260869565
Glades,2013,10.1887844611529
Gulf,2013,14.5416725878486
Hamilton,2013,5.04099236641221
Hardee,2013,13.8597270652811
Hendry,2013,2.4521722985518
Hernando,2013,24.7487694508514
Highlands,2013,24.7005155297086
Hillsborough,2013,12.5811606858974
Holmes,2013,14.4646117035493
Indian River,2013,18.8828483529025
Jackson,2013,8.50055898982597
Jefferson,2013,5.93459507042253
Lafayette,2013,0
Lake,2013,12.6813169397257
Lee,2013,14.2477287883193
Leon,2013,13.0689330516059
Levy,2013,27.6798089533268
Liberty,2013,0
Madison,2013,19.107709617919
Manatee,2013,18.0422560719293
Marion,2013,18.8637021678543
Martin,2013,21.8752454619773
Monroe,2013,44.0701776810329
Nassau,2013,20.3575463186976
Okaloosa,2013,23.0687196805997
Okeechobee,2013,10.9541524443569
Orange,2013,9.98502122184284
Osceola,2013,9.49025428154083
Palm Beach,2013,14.367979127827
Pasco,2013,17.4568788492245
Pinellas,2013,16.4184592345756
Polk,2013,13.0606447940709
Putnam,2013,23.7430422944177
St. Johns,2013,17.9809749614822
St. Lucie,2013,12.2474812165346
Santa Rosa,2013,17.6449599941975
Sarasota,2013,19.7767172936136
Seminole,2013,13.3073292814519
Sumter,2013,20.9565443717361
Suwannee,2013,13.8272613934209
Taylor,2013,25.9731065607786
Union,2013,35.2472423495172
Volusia,2013,18.8448157523643
Wakulla,2013,18.796541043404
Walton,2013,18.4100149531995
Washington,2013,4.24594425305356
Florida,2012,14.0800992701543
Alachua,2012,16.036153103057
Baker,2012,10.6524701898435
Bay,2012,20.0608293428524
Bradford,2012,23.0868970152303
Brevard,2012,20.3267445654869
Broward,2012,12.1875745348681
Calhoun,2012,15.6090218331227
Charlotte,2012,23.1392125579538
Citrus,2012,21.5526844334227
Clay,2012,17.1214383391869
Collier,2012,14.2205073529558
Columbia,2012,13.1351234496783
Miami-Dade,2012,7.96337370656434
DeSoto,2012,19.7161584072781
Dixie,2012,12.2524028455309
Duval,2012,16.9452836866164
Escambia,2012,19.5962703026187
Flagler,2012,9.55700691841349
Franklin,2012,13.1185104567392
Gadsden,2012,11.8715337654529
Gilchrist,2012,25.0056292475002
Glades,2012,10.5034849360139
Gulf,2012,9.15801715798426
Hamilton,2012,29.0594336607256
Hardee,2012,16.7961994894895
Hendry,2012,5.67297753925661
Hernando,2012,15.6200959299594
Highlands,2012,19.6108474083598
Hillsborough,2012,12.4736639897032
Holmes,2012,31.7107872564487
Indian River,2012,17.3422652056791
Jackson,2012,19.3996163431957
Jefferson,2012,10.2444019675949
Lafayette,2012,9.92481698389458
Lake,2012,15.1690006556848
Lee,2012,15.0351394763852
Leon,2012,16.970225106947
Levy,2012,22.7476022710444
Liberty,2012,15.0983164983165
Madison,2012,13.416546682175
Manatee,2012,14.6890826393055
Marion,2012,19.1970048154387
Martin,2012,15.3691297047683
Monroe,2012,21.6854437337828
Nassau,2012,23.870969629464
Okaloosa,2012,19.5449135337023
Okeechobee,2012,18.4051122561319
Orange,2012,11.2332459034078
Osceola,2012,10.7392276564555
Palm Beach,2012,14.1668682957898
Pasco,2012,16.123778397753
Pinellas,2012,19.2123297337606
Polk,2012,10.3350332974414
Putnam,2012,13.9802804697162
St. Johns,2012,19.1416673810409
St. Lucie,2012,15.3942759407843
Santa Rosa,2012,18.7917589696096
Sarasota,2012,17.77312708339
Seminole,2012,12.1932873417036
Sumter,2012,8.19229504079589
Suwannee,2012,17.2883238021671
Taylor,2012,9.29628990159082
Union,2012,13.7934343795754
Volusia,2012,20.7496408007577
Wakulla,2012,25.8960813175489
Walton,2012,17.9219237868233
Washington,2012,23.1896441362962
Florida,2011,13.4784874085202
Alachua,2011,10.4790728554028
Baker,2011,12.9759794243105
Bay,2011,18.7025756285411
Bradford,2011,15.5832861085374
Brevard,2011,17.0148480829563
Broward,2011,12.1973895468966
Calhoun,2011,25.054175778193
Charlotte,2011,17.8558468553152
Citrus,2011,28.839538345283
Clay,2011,12.0475215484201
Collier,2011,9.84250869453246
Columbia,2011,18.969800948915
Miami-Dade,2011,7.59641969205472
DeSoto,2011,12.6978023263459
Dixie,2011,20.2101563143513
Duval,2011,14.2324322920213
Escambia,2011,10.8131856373653
Flagler,2011,15.4740514380336
Franklin,2011,0
Gadsden,2011,11.3210073812453
Gilchrist,2011,24.8737438228662
Glades,2011,20.1584776009663
Gulf,2011,17.1181605990143
Hamilton,2011,4.45592441266598
Hardee,2011,7.18267549668875
Hendry,2011,2.53598310291859
Hernando,2011,26.5546637189966
Highlands,2011,15.5776694883718
Hillsborough,2011,12.6447176714988
Holmes,2011,20.6151429282943
Indian River,2011,11.8347539669254
Jackson,2011,12.1607813297541
Jefferson,2011,0
Lafayette,2011,11.1525227460711
Lake,2011,13.8287743916672
Lee,2011,15.6866534116456
Leon,2011,11.1877574720595
Levy,2011,15.0648770245639
Liberty,2011,0
Madison,2011,0
Manatee,2011,14.7168759516639
Marion,2011,18.3863964160869
Martin,2011,22.5472957283735
Monroe,2011,25.9529680526844
Nassau,2011,17.5984459473108
Okaloosa,2011,15.7104190184624
Okeechobee,2011,24.1130704107262
Orange,2011,9.96161806395313
Osceola,2011,14.6655283738246
Palm Beach,2011,13.784942157688
Pasco,2011,21.5440390907635
Pinellas,2011,16.0784842602601
Polk,2011,13.3804461701385
Putnam,2011,15.6857029695306
St. Johns,2011,12.5342915847945
St. Lucie,2011,18.1190604113421
Santa Rosa,2011,18.8228308248076
Sarasota,2011,16.8242678152613
Seminole,2011,12.0200003489538
Sumter,2011,10.5023651106134
Suwannee,2011,15.4102976402255
Taylor,2011,8.99459068469074
Union,2011,5.25463756819953
Volusia,2011,19.0547277591612
Wakulla,2011,26.509223324557
Walton,2011,22.7482450687526
Washington,2011,33.7641721998826
