County,Years,Gender,Rate,Count
Alachua,2020,Female,8.2,11
Baker,2020,Female,7.9,1
Bay,2020,Female,9.6,9
Bradford,2020,Female,9.5,2
Brevard,2020,Female,7.4,25
Broward,2020,Female,5.3,53
Calhoun,2020,Female,17.4,1
Charlotte,2020,Female,4,2
Citrus,2020,Female,14.9,10
Clay,2020,Female,5.8,6
Collier,2020,Female,9,15
Columbia,2020,Female,18.4,6
Miami-Dade,2020,Female,2.5,41
DeSoto,2020,Female,7.7,1
Dixie,2020,Female,0,0
Duval,2020,Female,6.5,32
Escambia,2020,Female,8.3,15
Flagler,2020,Female,7.2,5
Franklin,2020,Female,0,0
Gadsden,2020,Female,2.5,1
Gilchrist,2020,Female,17.4,1
Glades,2020,Female,0,0
Gulf,2020,Female,7,1
Hamilton,2020,Female,26.2,1
Hardee,2020,Female,0,0
Hendry,2020,Female,5.6,1
Hernando,2020,Female,4.4,4
Highlands,2020,Female,11.8,5
Hillsborough,2020,Female,5.4,44
Holmes,2020,Female,28.7,2
Indian River,2020,Female,7.2,8
Jackson,2020,Female,5.2,1
Jefferson,2020,Female,15.6,2
Lafayette,2020,Female,0,0
Lake,2020,Female,5,11
Lee,2020,Female,6.5,33
Leon,2020,Female,5.1,8
Levy,2020,Female,14.3,2
Liberty,2020,Female,0,0
Madison,2020,Female,6.3,1
Manatee,2020,Female,4.2,12
Marion,2020,Female,10.1,18
Martin,2020,Female,5.8,6
Monroe,2020,Female,7,2
Nassau,2020,Female,10.2,5
Okaloosa,2020,Female,10.9,10
Okeechobee,2020,Female,13.2,2
Orange,2020,Female,3.9,30
Osceola,2020,Female,4,8
Palm Beach,2020,Female,3.7,33
Pasco,2020,Female,11.1,32
Pinellas,2020,Female,9.9,53
Polk,2020,Female,4.8,18
Putnam,2020,Female,10.8,3
St. Johns,2020,Female,9.4,16
St. Lucie,2020,Female,3.5,5
Santa Rosa,2020,Female,11.9,11
Sarasota,2020,Female,8.8,24
Seminole,2020,Female,4.4,12
Sumter,2020,Female,6.8,3
Suwannee,2020,Female,10.7,3
Taylor,2020,Female,5.9,1
Union,2020,Female,0,0
Volusia,2020,Female,10.2,31
Wakulla,2020,Female,13.7,2
Walton,2020,Female,7.7,4
Washington,2020,Female,8.9,1
Alachua,2019,Female,4.8,8
Baker,2019,Female,14.9,2
Bay,2019,Female,5.7,6
Bradford,2019,Female,16,2
Brevard,2019,Female,11.4,35
Broward,2019,Female,4.6,49
Calhoun,2019,Female,0,0
Charlotte,2019,Female,9,8
Citrus,2019,Female,9.1,6
Clay,2019,Female,4,5
Collier,2019,Female,5.8,10
Columbia,2019,Female,13.4,4
Miami-Dade,2019,Female,3.7,57
DeSoto,2019,Female,3.2,1
Dixie,2019,Female,0,0
Duval,2019,Female,8.6,47
Escambia,2019,Female,5.6,10
Flagler,2019,Female,18.7,11
Franklin,2019,Female,64.1,2
Gadsden,2019,Female,3.2,1
Gilchrist,2019,Female,12.1,1
Glades,2019,Female,0,0
Gulf,2019,Female,60.4,4
Hamilton,2019,Female,0,0
Hardee,2019,Female,0,0
Hendry,2019,Female,16.3,3
Hernando,2019,Female,10.5,13
Highlands,2019,Female,7.1,4
Hillsborough,2019,Female,5,40
Holmes,2019,Female,0,0
Indian River,2019,Female,8.7,6
Jackson,2019,Female,5.3,1
Jefferson,2019,Female,19.6,2
Lafayette,2019,Female,0,0
Lake,2019,Female,8.7,18
Lee,2019,Female,6.4,29
Leon,2019,Female,4.4,7
Levy,2019,Female,0,0
Liberty,2019,Female,0,0
Madison,2019,Female,27.6,2
Manatee,2019,Female,8.9,20
Marion,2019,Female,5.9,14
Martin,2019,Female,11.2,9
Monroe,2019,Female,14.1,6
Nassau,2019,Female,15.6,7
Okaloosa,2019,Female,9.6,10
Okeechobee,2019,Female,6,1
Orange,2019,Female,4.3,32
Osceola,2019,Female,6.6,12
Palm Beach,2019,Female,6.8,57
Pasco,2019,Female,8.8,27
Pinellas,2019,Female,8.8,50
Polk,2019,Female,7.7,29
Putnam,2019,Female,6.4,2
St. Johns,2019,Female,9.9,14
St. Lucie,2019,Female,7.1,13
Santa Rosa,2019,Female,7.3,7
Sarasota,2019,Female,9.8,24
Seminole,2019,Female,5.1,13
Sumter,2019,Female,10.2,8
Suwannee,2019,Female,18.2,4
Taylor,2019,Female,15.8,1
Union,2019,Female,0,0
Volusia,2019,Female,8.7,23
Wakulla,2019,Female,6.5,1
Walton,2019,Female,1.5,1
Washington,2019,Female,5.9,1
Alachua,2018,Female,10.5,12
Baker,2018,Female,5.2,1
Bay,2018,Female,8.3,9
Bradford,2018,Female,0,0
Brevard,2018,Female,10.9,37
Broward,2018,Female,4.5,50
Calhoun,2018,Female,20.6,1
Charlotte,2018,Female,4,3
Citrus,2018,Female,13.5,10
Clay,2018,Female,12.8,14
Collier,2018,Female,6.1,11
Columbia,2018,Female,9.9,4
Miami-Dade,2018,Female,4.2,61
DeSoto,2018,Female,11.6,2
Dixie,2018,Female,6.9,1
Duval,2018,Female,7,35
Escambia,2018,Female,7.2,11
Flagler,2018,Female,8.4,5
Franklin,2018,Female,0,0
Gadsden,2018,Female,5,1
Gilchrist,2018,Female,6.3,1
Glades,2018,Female,0,0
Gulf,2018,Female,14.9,1
Hamilton,2018,Female,0,0
Hardee,2018,Female,10.9,1
Hendry,2018,Female,0,0
Hernando,2018,Female,3,3
Highlands,2018,Female,20.9,10
Hillsborough,2018,Female,6.3,50
Holmes,2018,Female,13,1
Indian River,2018,Female,10.2,9
Jackson,2018,Female,0,0
Jefferson,2018,Female,0,0
Lafayette,2018,Female,0,0
Lake,2018,Female,9.6,16
Lee,2018,Female,5.6,22
Leon,2018,Female,4.5,7
Levy,2018,Female,16.8,3
Liberty,2018,Female,0,0
Madison,2018,Female,0,0
Manatee,2018,Female,8.4,21
Marion,2018,Female,8.2,15
Martin,2018,Female,5,6
Monroe,2018,Female,14.6,5
Nassau,2018,Female,8.6,4
Okaloosa,2018,Female,7.2,7
Okeechobee,2018,Female,15.3,3
Orange,2018,Female,4.7,35
Osceola,2018,Female,4.6,9
Palm Beach,2018,Female,6.9,57
Pasco,2018,Female,7.2,21
Pinellas,2018,Female,10.4,55
Polk,2018,Female,6.8,27
Putnam,2018,Female,20.6,8
St. Johns,2018,Female,5.3,7
St. Lucie,2018,Female,5.6,11
Santa Rosa,2018,Female,8.9,9
Sarasota,2018,Female,8,23
Seminole,2018,Female,3.6,10
Sumter,2018,Female,6.1,6
Suwannee,2018,Female,9.9,2
Taylor,2018,Female,0,0
Union,2018,Female,51.8,2
Volusia,2018,Female,8.6,25
Wakulla,2018,Female,24.1,3
Walton,2018,Female,1.5,1
Washington,2018,Female,13.2,2
Alachua,2017,Female,3.5,5
Baker,2017,Female,0,0
Bay,2017,Female,11.5,12
Bradford,2017,Female,0,0
Brevard,2017,Female,9.4,34
Broward,2017,Female,5.4,55
Calhoun,2017,Female,35.4,3
Charlotte,2017,Female,5.9,6
Citrus,2017,Female,5.2,4
Clay,2017,Female,7.5,9
Collier,2017,Female,6.1,14
Columbia,2017,Female,12.1,4
Miami-Dade,2017,Female,3,46
DeSoto,2017,Female,4.3,1
Dixie,2017,Female,0,0
Duval,2017,Female,7.1,35
Escambia,2017,Female,9.4,15
Flagler,2017,Female,8.9,7
Franklin,2017,Female,0,0
Gadsden,2017,Female,8.2,2
Gilchrist,2017,Female,0,0
Glades,2017,Female,19.2,1
Gulf,2017,Female,0,0
Hamilton,2017,Female,0,0
Hardee,2017,Female,0,0
Hendry,2017,Female,0,0
Hernando,2017,Female,11.9,12
Highlands,2017,Female,10.3,7
Hillsborough,2017,Female,5.8,45
Holmes,2017,Female,0,0
Indian River,2017,Female,9.7,6
Jackson,2017,Female,12.5,3
Jefferson,2017,Female,6.8,1
Lafayette,2017,Female,0,0
Lake,2017,Female,12.6,21
Lee,2017,Female,5.3,19
Leon,2017,Female,6.4,11
Levy,2017,Female,2.5,1
Liberty,2017,Female,0,0
Madison,2017,Female,11.9,1
Manatee,2017,Female,8.7,18
Marion,2017,Female,7.7,12
Martin,2017,Female,2.6,3
Monroe,2017,Female,12,4
Nassau,2017,Female,2.4,1
Okaloosa,2017,Female,6.6,7
Okeechobee,2017,Female,3.3,1
Orange,2017,Female,4.7,32
Osceola,2017,Female,6.9,12
Palm Beach,2017,Female,6.6,57
Pasco,2017,Female,6.9,19
Pinellas,2017,Female,9.7,48
Polk,2017,Female,6.8,25
Putnam,2017,Female,7.8,2
St. Johns,2017,Female,4.4,7
St. Lucie,2017,Female,6.6,10
Santa Rosa,2017,Female,8.2,7
Sarasota,2017,Female,10.7,23
Seminole,2017,Female,3.3,9
Sumter,2017,Female,10.9,3
Suwannee,2017,Female,13.2,2
Taylor,2017,Female,0,0
Union,2017,Female,0,0
Volusia,2017,Female,10.9,27
Wakulla,2017,Female,13.4,2
Walton,2017,Female,7.9,2
Washington,2017,Female,0,0
Alachua,2016,Female,5,7
Baker,2016,Female,0,0
Bay,2016,Female,16.7,14
Bradford,2016,Female,0,0
Brevard,2016,Female,13.5,38
Broward,2016,Female,6.2,64
Calhoun,2016,Female,21.4,1
Charlotte,2016,Female,7.2,7
Citrus,2016,Female,3.1,4
Clay,2016,Female,5.1,7
Collier,2016,Female,3.5,7
Columbia,2016,Female,2.4,1
Miami-Dade,2016,Female,3.5,54
DeSoto,2016,Female,11.9,2
Dixie,2016,Female,0,0
Duval,2016,Female,6.2,30
Escambia,2016,Female,15.9,24
Flagler,2016,Female,19.7,9
Franklin,2016,Female,8.1,1
Gadsden,2016,Female,4.3,1
Gilchrist,2016,Female,0,0
Glades,2016,Female,20.2,1
Gulf,2016,Female,22.2,1
Hamilton,2016,Female,0,0
Hardee,2016,Female,5.5,1
Hendry,2016,Female,0,0
Hernando,2016,Female,9,7
Highlands,2016,Female,1.4,2
Hillsborough,2016,Female,5.5,41
Holmes,2016,Female,0,0
Indian River,2016,Female,5.9,7
Jackson,2016,Female,6.4,1
Jefferson,2016,Female,0,0
Lafayette,2016,Female,0,0
Lake,2016,Female,5,10
Lee,2016,Female,6.7,25
Leon,2016,Female,4.7,8
Levy,2016,Female,6.1,1
Liberty,2016,Female,0,0
Madison,2016,Female,0,0
Manatee,2016,Female,12.5,23
Marion,2016,Female,6.7,12
Martin,2016,Female,8.1,8
Monroe,2016,Female,16.1,5
Nassau,2016,Female,15.8,5
Okaloosa,2016,Female,7.7,6
Okeechobee,2016,Female,5.7,1
Orange,2016,Female,4.6,29
Osceola,2016,Female,5.4,9
Palm Beach,2016,Female,9.2,74
Pasco,2016,Female,9.3,26
Pinellas,2016,Female,13.1,73
Polk,2016,Female,4.9,17
Putnam,2016,Female,8.5,4
St. Johns,2016,Female,10,12
St. Lucie,2016,Female,5.9,9
Santa Rosa,2016,Female,13.7,11
Sarasota,2016,Female,8.1,18
Seminole,2016,Female,7.4,18
Sumter,2016,Female,1.1,2
Suwannee,2016,Female,8.8,2
Taylor,2016,Female,0,0
Union,2016,Female,33.2,2
Volusia,2016,Female,12.4,32
Wakulla,2016,Female,8.6,1
Walton,2016,Female,4.4,1
Washington,2016,Female,10.9,1
Alachua,2015,Female,7.3,10
Baker,2015,Female,13.5,2
Bay,2015,Female,9.3,9
Bradford,2015,Female,0,0
Brevard,2015,Female,13.5,39
Broward,2015,Female,4.6,50
Calhoun,2015,Female,18.6,1
Charlotte,2015,Female,8,9
Citrus,2015,Female,10.6,7
Clay,2015,Female,8.9,10
Collier,2015,Female,4,7
Columbia,2015,Female,0,0
Miami-Dade,2015,Female,3.9,59
DeSoto,2015,Female,3.4,1
Dixie,2015,Female,6,1
Duval,2015,Female,6.9,33
Escambia,2015,Female,9.4,15
Flagler,2015,Female,11.2,6
Franklin,2015,Female,20.8,1
Gadsden,2015,Female,0,0
Gilchrist,2015,Female,8.8,1
Glades,2015,Female,47.2,2
Gulf,2015,Female,7.6,1
Hamilton,2015,Female,21.9,1
Hardee,2015,Female,0,0
Hendry,2015,Female,11.3,2
Hernando,2015,Female,13.8,11
Highlands,2015,Female,4.4,2
Hillsborough,2015,Female,5.4,40
Holmes,2015,Female,0,0
Indian River,2015,Female,1.7,3
Jackson,2015,Female,10.9,2
Jefferson,2015,Female,0,0
Lafayette,2015,Female,0,0
Lake,2015,Female,10,20
Lee,2015,Female,7.6,23
Leon,2015,Female,4.3,6
Levy,2015,Female,0,0
Liberty,2015,Female,0,0
Madison,2015,Female,12.8,1
Manatee,2015,Female,9.8,18
Marion,2015,Female,10.8,17
Martin,2015,Female,7.7,9
Monroe,2015,Female,3.1,1
Nassau,2015,Female,13.3,5
Okaloosa,2015,Female,8.4,8
Okeechobee,2015,Female,7.8,1
Orange,2015,Female,5.4,35
Osceola,2015,Female,3,5
Palm Beach,2015,Female,10,73
Pasco,2015,Female,10.3,29
Pinellas,2015,Female,8.8,49
Polk,2015,Female,6.1,20
Putnam,2015,Female,5.9,2
St. Johns,2015,Female,7.9,8
St. Lucie,2015,Female,7.8,13
Santa Rosa,2015,Female,8,6
Sarasota,2015,Female,7.1,19
Seminole,2015,Female,4.2,11
Sumter,2015,Female,7.2,3
Suwannee,2015,Female,7.7,2
Taylor,2015,Female,0,0
Union,2015,Female,0,0
Volusia,2015,Female,10.3,27
Wakulla,2015,Female,0,0
Walton,2015,Female,8.9,2
Washington,2015,Female,0,0
Alachua,2014,Female,5.1,7
Baker,2014,Female,17.6,2
Bay,2014,Female,11.3,10
Bradford,2014,Female,9.4,1
Brevard,2014,Female,8.3,27
Broward,2014,Female,4.7,49
Calhoun,2014,Female,0,0
Charlotte,2014,Female,7.8,5
Citrus,2014,Female,8.9,7
Clay,2014,Female,11.3,11
Collier,2014,Female,3.2,6
Columbia,2014,Female,12.9,5
Miami-Dade,2014,Female,3.3,47
DeSoto,2014,Female,19.5,3
Dixie,2014,Female,12.4,1
Duval,2014,Female,5.8,29
Escambia,2014,Female,7.9,13
Flagler,2014,Female,13.6,7
Franklin,2014,Female,0,0
Gadsden,2014,Female,2.5,1
Gilchrist,2014,Female,0,0
Glades,2014,Female,0,0
Gulf,2014,Female,29.3,2
Hamilton,2014,Female,32.4,2
Hardee,2014,Female,0,0
Hendry,2014,Female,11.6,2
Hernando,2014,Female,8.5,8
Highlands,2014,Female,15.9,8
Hillsborough,2014,Female,7.4,52
Holmes,2014,Female,14.1,1
Indian River,2014,Female,2.6,3
Jackson,2014,Female,0,0
Jefferson,2014,Female,13,1
Lafayette,2014,Female,0,0
Lake,2014,Female,2.6,5
Lee,2014,Female,12.1,41
Leon,2014,Female,3.5,4
Levy,2014,Female,2.6,1
Liberty,2014,Female,0,0
Madison,2014,Female,16.2,1
Manatee,2014,Female,6.1,13
Marion,2014,Female,6.3,13
Martin,2014,Female,7.8,7
Monroe,2014,Female,0,0
Nassau,2014,Female,11.5,4
Okaloosa,2014,Female,6.9,7
Okeechobee,2014,Female,6.5,1
Orange,2014,Female,4.3,28
Osceola,2014,Female,3.8,6
Palm Beach,2014,Female,7,59
Pasco,2014,Female,8.9,21
Pinellas,2014,Female,9.3,50
Polk,2014,Female,4.2,15
Putnam,2014,Female,6.6,3
St. Johns,2014,Female,6.7,9
St. Lucie,2014,Female,6.7,11
Santa Rosa,2014,Female,8,6
Sarasota,2014,Female,10,25
Seminole,2014,Female,3.9,9
Sumter,2014,Female,3.4,5
Suwannee,2014,Female,0,0
Taylor,2014,Female,19.9,2
Union,2014,Female,0,0
Volusia,2014,Female,8.3,24
Wakulla,2014,Female,6.5,1
Walton,2014,Female,9.4,2
Washington,2014,Female,0,0
Alachua,2013,Female,8.6,11
Baker,2013,Female,7.6,1
Bay,2013,Female,5.1,4
Bradford,2013,Female,15,2
Brevard,2013,Female,11.1,32
Broward,2013,Female,5.3,52
Calhoun,2013,Female,0,0
Charlotte,2013,Female,2,4
Citrus,2013,Female,4.3,5
Clay,2013,Female,7.6,8
Collier,2013,Female,4.3,7
Columbia,2013,Female,10.9,3
Miami-Dade,2013,Female,2.4,34
DeSoto,2013,Female,9.3,2
Dixie,2013,Female,0,0
Duval,2013,Female,6.3,29
Escambia,2013,Female,10.7,15
Flagler,2013,Female,2,1
Franklin,2013,Female,0,0
Gadsden,2013,Female,2.5,1
Gilchrist,2013,Female,0,0
Glades,2013,Female,0,0
Gulf,2013,Female,14.4,1
Hamilton,2013,Female,0,0
Hardee,2013,Female,0,0
Hendry,2013,Female,0,0
Hernando,2013,Female,12.1,9
Highlands,2013,Female,6.6,3
Hillsborough,2013,Female,5,35
Holmes,2013,Female,6.5,1
Indian River,2013,Female,9.3,6
Jackson,2013,Female,14,3
Jefferson,2013,Female,0,0
Lafayette,2013,Female,0,0
Lake,2013,Female,4.1,8
Lee,2013,Female,7.8,25
Leon,2013,Female,7.4,10
Levy,2013,Female,0,0
Liberty,2013,Female,0,0
Madison,2013,Female,16.9,2
Manatee,2013,Female,9.8,21
Marion,2013,Female,8.8,17
Martin,2013,Female,13.5,9
Monroe,2013,Female,17.8,6
Nassau,2013,Female,9.2,3
Okaloosa,2013,Female,12.7,12
Okeechobee,2013,Female,10.9,2
Orange,2013,Female,6.1,38
Osceola,2013,Female,2.4,4
Palm Beach,2013,Female,8.3,63
Pasco,2013,Female,10.6,27
Pinellas,2013,Female,8.7,44
Polk,2013,Female,4.6,14
Putnam,2013,Female,8.7,3
St. Johns,2013,Female,9.8,10
St. Lucie,2013,Female,4.2,8
Santa Rosa,2013,Female,9.5,8
Sarasota,2013,Female,9.8,23
Seminole,2013,Female,5.6,12
Sumter,2013,Female,11.2,5
Suwannee,2013,Female,0,0
Taylor,2013,Female,9.5,1
Union,2013,Female,17.3,1
Volusia,2013,Female,13.6,37
Wakulla,2013,Female,14.7,2
Walton,2013,Female,5.1,2
Washington,2013,Female,0,0
Alachua,2012,Female,9.8,11
Baker,2012,Female,7.4,1
Bay,2012,Female,8.8,9
Bradford,2012,Female,28.4,3
Brevard,2012,Female,8.7,28
Broward,2012,Female,5.8,57
Calhoun,2012,Female,0,0
Charlotte,2012,Female,1.3,3
Citrus,2012,Female,11.8,8
Clay,2012,Female,9.5,10
Collier,2012,Female,10.2,14
Columbia,2012,Female,4.6,2
Miami-Dade,2012,Female,2.5,37
DeSoto,2012,Female,4.7,1
Dixie,2012,Female,18.9,2
Duval,2012,Female,7.5,36
Escambia,2012,Female,8.6,13
Flagler,2012,Female,7,4
Franklin,2012,Female,18.4,1
Gadsden,2012,Female,3.2,1
Gilchrist,2012,Female,11.6,1
Glades,2012,Female,26.6,1
Gulf,2012,Female,14.5,1
Hamilton,2012,Female,23.9,1
Hardee,2012,Female,8.3,1
Hendry,2012,Female,0,0
Hernando,2012,Female,14.1,12
Highlands,2012,Female,2.3,1
Hillsborough,2012,Female,5.4,36
Holmes,2012,Female,12.8,1
Indian River,2012,Female,13.7,11
Jackson,2012,Female,11.3,2
Jefferson,2012,Female,0,0
Lafayette,2012,Female,0,0
Lake,2012,Female,5.7,9
Lee,2012,Female,10.8,37
Leon,2012,Female,7.4,10
Levy,2012,Female,5.3,2
Liberty,2012,Female,27.2,1
Madison,2012,Female,0,0
Manatee,2012,Female,2.4,4
Marion,2012,Female,6.4,10
Martin,2012,Female,2.2,3
Monroe,2012,Female,10.6,3
Nassau,2012,Female,2.3,1
Okaloosa,2012,Female,8.3,8
Okeechobee,2012,Female,15.2,2
Orange,2012,Female,5.9,36
Osceola,2012,Female,2.7,4
Palm Beach,2012,Female,7.9,58
Pasco,2012,Female,6.2,16
Pinellas,2012,Female,12.3,64
Polk,2012,Female,3.7,12
Putnam,2012,Female,7,3
St. Johns,2012,Female,8.9,10
St. Lucie,2012,Female,6.2,9
Santa Rosa,2012,Female,10.4,10
Sarasota,2012,Female,11.6,24
Seminole,2012,Female,6,14
Sumter,2012,Female,16.2,4
Suwannee,2012,Female,9.2,2
Taylor,2012,Female,5.7,1
Union,2012,Female,16.5,1
Volusia,2012,Female,11.5,33
Wakulla,2012,Female,25.4,3
Walton,2012,Female,7.3,3
Washington,2012,Female,29.8,3
Alachua,2011,Female,6.3,8
Baker,2011,Female,16.9,2
Bay,2011,Female,8.4,7
Bradford,2011,Female,17,2
Brevard,2011,Female,7,21
Broward,2011,Female,4.9,48
Calhoun,2011,Female,18.3,1
Charlotte,2011,Female,5.9,5
Citrus,2011,Female,9.9,8
Clay,2011,Female,1.8,2
Collier,2011,Female,2.2,4
Columbia,2011,Female,5.5,2
Miami-Dade,2011,Female,2.3,33
DeSoto,2011,Female,10.9,2
Dixie,2011,Female,0,0
Duval,2011,Female,6.8,31
Escambia,2011,Female,3.4,5
Flagler,2011,Female,7.9,4
Franklin,2011,Female,0,0
Gadsden,2011,Female,0,0
Gilchrist,2011,Female,0,0
Glades,2011,Female,0,0
Gulf,2011,Female,0,0
Hamilton,2011,Female,0,0
Hardee,2011,Female,0,0
Hendry,2011,Female,0,0
Hernando,2011,Female,15.1,14
Highlands,2011,Female,2,2
Hillsborough,2011,Female,5.5,37
Holmes,2011,Female,28.5,2
Indian River,2011,Female,5.7,4
Jackson,2011,Female,7,2
Jefferson,2011,Female,0,0
Lafayette,2011,Female,30,1
Lake,2011,Female,4.1,7
Lee,2011,Female,5.8,19
Leon,2011,Female,3.4,4
Levy,2011,Female,11.7,3
Liberty,2011,Female,0,0
Madison,2011,Female,0,0
Manatee,2011,Female,6.2,11
Marion,2011,Female,4.8,13
Martin,2011,Female,7.8,7
Monroe,2011,Female,5.9,3
Nassau,2011,Female,4.8,2
Okaloosa,2011,Female,8.4,8
Okeechobee,2011,Female,3.9,1
Orange,2011,Female,3.6,21
Osceola,2011,Female,4,6
Palm Beach,2011,Female,7.4,55
Pasco,2011,Female,12.4,30
Pinellas,2011,Female,7.5,36
Polk,2011,Female,5.8,19
Putnam,2011,Female,4,2
St. Johns,2011,Female,6.1,6
St. Lucie,2011,Female,8.6,13
Santa Rosa,2011,Female,1.1,1
Sarasota,2011,Female,8.8,18
Seminole,2011,Female,8.4,19
Sumter,2011,Female,11.3,5
Suwannee,2011,Female,17.2,4
Taylor,2011,Female,11.7,1
Union,2011,Female,15.9,1
Volusia,2011,Female,6.6,17
Wakulla,2011,Female,6.2,1
Walton,2011,Female,10.1,3
Washington,2011,Female,13.5,2
