"Age-adjusted Suicide Deaths, Rate Per 100,000 Population, Female",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,2020,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Florida,707,6,780,6.6,767,6.6,713,6.3,777,7,740,6.8,684,6.2,686,6.5,709,6.8,585,5.7
Alachua,11,8.2,8,4.8,12,10.5,5,3.5,7,5,10,7.3,7,5.1,11,8.6,11,9.8,8,6.3
Baker,1,7.9,2,14.9,1,5.2,0,0,0,0,2,13.5,2,17.6,1,7.6,1,7.4,2,16.9
Bay,9,9.6,6,5.7,9,8.3,12,11.5,14,16.7,9,9.3,10,11.3,4,5.1,9,8.8,7,8.4
Bradford,2,9.5,2,16,0,0,0,0,0,0,0,0,1,9.4,2,15,3,28.4,2,17
Brevard,25,7.4,35,11.4,37,10.9,34,9.4,38,13.5,39,13.5,27,8.3,32,11.1,28,8.7,21,7
Broward,53,5.3,49,4.6,50,4.5,55,5.4,64,6.2,50,4.6,49,4.7,52,5.3,57,5.8,48,4.9
Calhoun,1,17.4,0,0,1,20.6,3,35.4,1,21.4,1,18.6,0,0,0,0,0,0,1,18.3
Charlotte,2,4,8,9,3,4,6,5.9,7,7.2,9,8,5,7.8,4,2,3,1.3,5,5.9
Citrus,10,14.9,6,9.1,10,13.5,4,5.2,4,3.1,7,10.6,7,8.9,5,4.3,8,11.8,8,9.9
Clay,6,5.8,5,4,14,12.8,9,7.5,7,5.1,10,8.9,11,11.3,8,7.6,10,9.5,2,1.8
Collier,15,9,10,5.8,11,6.1,14,6.1,7,3.5,7,4,6,3.2,7,4.3,14,10.2,4,2.2
Columbia,6,18.4,4,13.4,4,9.9,4,12.1,1,2.4,0,0,5,12.9,3,10.9,2,4.6,2,5.5
Miami-Dade,41,2.5,57,3.7,61,4.2,46,3,54,3.5,59,3.9,47,3.3,34,2.4,37,2.5,33,2.3
Desoto,1,7.7,1,3.2,2,11.6,1,4.3,2,11.9,1,3.4,3,19.5,2,9.3,1,4.7,2,10.9
Dixie,0,0,0,0,1,6.9,0,0,0,0,1,6,1,12.4,0,0,2,18.9,0,0
Duval,32,6.5,47,8.6,35,7,35,7.1,30,6.2,33,6.9,29,5.8,29,6.3,36,7.5,31,6.8
Escambia,15,8.3,10,5.6,11,7.2,15,9.4,24,15.9,15,9.4,13,7.9,15,10.7,13,8.6,5,3.4
Flagler,5,7.2,11,18.7,5,8.4,7,8.9,9,19.7,6,11.2,7,13.6,1,2,4,7,4,7.9
Franklin,0,0,2,64.1,0,0,0,0,1,8.1,1,20.8,0,0,0,0,1,18.4,0,0
Gadsden,1,2.5,1,3.2,1,5,2,8.2,1,4.3,0,0,1,2.5,1,2.5,1,3.2,0,0
Gilchrist,1,17.4,1,12.1,1,6.3,0,0,0,0,1,8.8,0,0,0,0,1,11.6,0,0
Glades,0,0,0,0,0,0,1,19.2,1,20.2,2,47.2,0,0,0,0,1,26.6,0,0
Gulf,1,7,4,60.4,1,14.9,0,0,1,22.2,1,7.6,2,29.3,1,14.4,1,14.5,0,0
Hamilton,1,26.2,0,0,0,0,0,0,0,0,1,21.9,2,32.4,0,0,1,23.9,0,0
Hardee,0,0,0,0,1,10.9,0,0,1,5.5,0,0,0,0,0,0,1,8.3,0,0
Hendry,1,5.6,3,16.3,0,0,0,0,0,0,2,11.3,2,11.6,0,0,0,0,0,0
Hernando,4,4.4,13,10.5,3,3,12,11.9,7,9,11,13.8,8,8.5,9,12.1,12,14.1,14,15.1
Highlands,5,11.8,4,7.1,10,20.9,7,10.3,2,1.4,2,4.4,8,15.9,3,6.6,1,2.3,2,2
Hillsborough,44,5.4,40,5,50,6.3,45,5.8,41,5.5,40,5.4,52,7.4,35,5,36,5.4,37,5.5
Holmes,2,28.7,0,0,1,13,0,0,0,0,0,0,1,14.1,1,6.5,1,12.8,2,28.5
Indian River,8,7.2,6,8.7,9,10.2,6,9.7,7,5.9,3,1.7,3,2.6,6,9.3,11,13.7,4,5.7
Jackson,1,5.2,1,5.3,0,0,3,12.5,1,6.4,2,10.9,0,0,3,14,2,11.3,2,7
Jefferson,2,15.6,2,19.6,0,0,1,6.8,0,0,0,0,1,13,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
Lake,11,5,18,8.7,16,9.6,21,12.6,10,5,20,10,5,2.6,8,4.1,9,5.7,7,4.1
Lee,33,6.5,29,6.4,22,5.6,19,5.3,25,6.7,23,7.6,41,12.1,25,7.8,37,10.8,19,5.8
Leon,8,5.1,7,4.4,7,4.5,11,6.4,8,4.7,6,4.3,4,3.5,10,7.4,10,7.4,4,3.4
Levy,2,14.3,0,0,3,16.8,1,2.5,1,6.1,0,0,1,2.6,0,0,2,5.3,3,11.7
Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.2,0,0
Madison,1,6.3,2,27.6,0,0,1,11.9,0,0,1,12.8,1,16.2,2,16.9,0,0,0,0
Manatee,12,4.2,20,8.9,21,8.4,18,8.7,23,12.5,18,9.8,13,6.1,21,9.8,4,2.4,11,6.2
Marion,18,10.1,14,5.9,15,8.2,12,7.7,12,6.7,17,10.8,13,6.3,17,8.8,10,6.4,13,4.8
Martin,6,5.8,9,11.2,6,5,3,2.6,8,8.1,9,7.7,7,7.8,9,13.5,3,2.2,7,7.8
Monroe,2,7,6,14.1,5,14.6,4,12,5,16.1,1,3.1,0,0,6,17.8,3,10.6,3,5.9
Nassau,5,10.2,7,15.6,4,8.6,1,2.4,5,15.8,5,13.3,4,11.5,3,9.2,1,2.3,2,4.8
Okaloosa,10,10.9,10,9.6,7,7.2,7,6.6,6,7.7,8,8.4,7,6.9,12,12.7,8,8.3,8,8.4
Okeechobee,2,13.2,1,6,3,15.3,1,3.3,1,5.7,1,7.8,1,6.5,2,10.9,2,15.2,1,3.9
Orange,30,3.9,32,4.3,35,4.7,32,4.7,29,4.6,35,5.4,28,4.3,38,6.1,36,5.9,21,3.6
Osceola,8,4,12,6.6,9,4.6,12,6.9,9,5.4,5,3,6,3.8,4,2.4,4,2.7,6,4
Palm Beach,33,3.7,57,6.8,57,6.9,57,6.6,74,9.2,73,10,59,7,63,8.3,58,7.9,55,7.4
Pasco,32,11.1,27,8.8,21,7.2,19,6.9,26,9.3,29,10.3,21,8.9,27,10.6,16,6.2,30,12.4
Pinellas,53,9.9,50,8.8,55,10.4,48,9.7,73,13.1,49,8.8,50,9.3,44,8.7,64,12.3,36,7.5
Polk,18,4.8,29,7.7,27,6.8,25,6.8,17,4.9,20,6.1,15,4.2,14,4.6,12,3.7,19,5.8
Putnam,3,10.8,2,6.4,8,20.6,2,7.8,4,8.5,2,5.9,3,6.6,3,8.7,3,7,2,4
St. Johns,16,9.4,14,9.9,7,5.3,7,4.4,12,10,8,7.9,9,6.7,10,9.8,10,8.9,6,6.1
St. Lucie,5,3.5,13,7.1,11,5.6,10,6.6,9,5.9,13,7.8,11,6.7,8,4.2,9,6.2,13,8.6
Santa Rosa,11,11.9,7,7.3,9,8.9,7,8.2,11,13.7,6,8,6,8,8,9.5,10,10.4,1,1.1
Sarasota,24,8.8,24,9.8,23,8,23,10.7,18,8.1,19,7.1,25,10,23,9.8,24,11.6,18,8.8
Seminole,12,4.4,13,5.1,10,3.6,9,3.3,18,7.4,11,4.2,9,3.9,12,5.6,14,6,19,8.4
Sumter,3,6.8,8,10.2,6,6.1,3,10.9,2,1.1,3,7.2,5,3.4,5,11.2,4,16.2,5,11.3
Suwannee,3,10.7,4,18.2,2,9.9,2,13.2,2,8.8,2,7.7,0,0,0,0,2,9.2,4,17.2
Taylor,1,5.9,1,15.8,0,0,0,0,0,0,0,0,2,19.9,1,9.5,1,5.7,1,11.7
Union,0,0,0,0,2,51.8,0,0,2,33.2,0,0,0,0,1,17.3,1,16.5,1,15.9
Volusia,31,10.2,23,8.7,25,8.6,27,10.9,32,12.4,27,10.3,24,8.3,37,13.6,33,11.5,17,6.6
Wakulla,2,13.7,1,6.5,3,24.1,2,13.4,1,8.6,0,0,1,6.5,2,14.7,3,25.4,1,6.2
Walton,4,7.7,1,1.5,1,1.5,2,7.9,1,4.4,2,8.9,2,9.4,2,5.1,3,7.3,3,10.1
Washington,1,8.9,1,5.9,2,13.2,0,0,1,10.9,0,0,0,0,0,0,3,29.8,2,13.5
