"Age-adjusted Suicide Deaths, Rate Per 100,000 Population, Male",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,2020,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Florida,"2,406",20.7,"2,647",23,"2,785",24.7,"2,474",22.5,"2,345",21.7,"2,412",22.8,"2,277",21.9,"2,206",21.6,"2,213",22,"2,180",21.9
Alachua,22,17,23,19.4,30,23.7,27,22.8,25,23.5,21,19.2,30,23.7,20,17.4,24,22.6,18,15.6
Baker,3,20.8,3,19.8,4,28.7,2,13.6,5,31.7,1,5.3,3,21.2,0,0,2,13.8,1,12.2
Bay,32,35.6,29,30.5,42,40.5,32,34.6,31,34.3,28,31.1,33,37.2,31,32.3,28,31.4,26,29.2
Bradford,4,24.7,4,28.1,5,28.7,2,9.2,1,6.3,7,49.9,2,13.9,4,23.4,4,26.5,3,15.2
Brevard,92,26.6,102,28.7,91,28.9,107,33.6,96,33.3,100,31.5,87,27,94,32.5,95,32.9,82,27.7
Broward,169,16.4,192,18.5,210,21.3,162,16.9,179,18.7,170,18.3,165,17.3,158,16.9,180,19.5,185,20.1
Calhoun,0,0,1,10.7,1,9.8,0,0,1,10.6,0,0,1,13.4,0,0,3,31.6,3,32.4
Charlotte,35,27.9,42,39.7,32,32.3,25,26,31,28.7,28,33.6,23,30.1,25,28.1,32,44.8,24,30
Citrus,28,34,40,44,41,49.1,33,38.4,25,37.3,23,26.5,26,40.5,37,47.7,25,32.1,35,49.6
Clay,23,20.5,38,33.2,25,23.5,29,28.1,31,32.2,20,19.4,26,25.8,22,26,23,25.5,22,23.6
Collier,45,22.6,35,17.9,44,18.5,43,24,38,17.6,37,18.4,30,16.3,30,15.9,32,18.7,28,17.6
Columbia,10,26.4,16,43.7,14,35.3,7,17.3,8,23.3,10,27.5,9,26.5,10,26.9,8,21,11,32.8
Miami-Dade,174,11.7,211,14.2,217,14.9,195,13.6,187,13.4,202,14.7,188,14,181,13.9,185,14.3,173,13.7
Desoto,2,11.2,4,16.3,6,26,4,18.5,6,23.4,6,27.7,4,19.1,3,15.8,6,31.2,3,13.6
Dixie,5,47.3,4,31.5,2,12.4,2,16.9,2,21.1,4,38.2,3,18.5,2,20.8,1,6.8,5,38.9
Duval,126,25.5,130,27.6,129,28,120,25.3,101,21.1,128,29.4,90,20.7,101,24.2,115,27.4,96,23.2
Escambia,51,30.8,43,26.1,39,25,60,41,37,23.5,38,23.6,45,29.3,34,23,44,31,31,18.7
Flagler,20,35,14,20.9,24,42.4,24,50.6,11,23.4,20,38.7,13,22.1,16,33.2,7,13,11,23.7
Franklin,0,0,1,10,2,23.9,2,21.5,1,15.1,2,20.7,0,0,1,10.6,1,10.2,0,0
Gadsden,4,13,11,53.9,6,30.8,1,4.2,2,6.8,7,26.6,6,27.4,7,31.3,6,21.6,6,23.7
Gilchrist,4,41.3,3,34.1,4,35.3,3,32.3,3,46.3,3,22.3,4,34.1,2,36.1,4,37,5,65.2
Glades,2,27.5,4,58.1,1,15.6,0,0,3,38.3,1,6.5,3,32.6,1,15.4,0,0,3,34.1
Gulf,3,35.8,3,28.6,2,18.8,0,0,1,10.5,6,57.9,2,28.7,2,16.3,1,7.3,3,26.9
Hamilton,4,35.9,3,42.4,1,13.7,0,0,2,35.3,0,0,0,0,1,10.5,3,41.4,1,8.8
Hardee,2,12.1,4,27.2,4,29.3,1,7.5,5,35.8,4,25.3,3,19.3,4,25.6,3,22.5,2,12.6
Hendry,4,18.4,6,26.4,5,25.6,5,24.8,5,26.1,7,37.3,3,15.8,1,4.8,2,12.6,1,4.9
Hernando,32,32.4,30,30.2,30,33.3,22,20.3,31,30.6,28,29.5,23,26.3,31,38.6,19,17.6,34,39.4
Highlands,17,38.3,23,39.6,19,36.4,20,31.8,22,35.6,16,29.5,15,25.8,24,44,17,36.9,14,29.1
Hillsborough,143,19.8,176,24.1,167,23.2,146,20.9,122,18.2,159,24.4,133,20.3,132,21,126,20.6,124,20.8
Holmes,5,43.6,2,16.2,2,14.5,5,37.3,4,31.3,3,27.4,3,24.4,2,23.6,7,53,2,15.4
Indian River,23,26.2,23,25.1,22,24.7,28,38.6,22,22.8,14,14.6,23,28.2,22,29.3,16,21.7,12,18
Jackson,11,41.4,4,12.4,11,36.3,6,19.5,2,6.7,9,29.9,7,21.4,2,4.9,8,29.4,5,15.8
Jefferson,2,38.7,2,19.9,2,23.9,0,0,2,27.6,3,48.2,0,0,1,11,2,19.9,0,0
Lafayette,0,0,0,0,0,0,0,0,0,0,1,23.2,0,0,0,0,1,13.9,0,0
Lake,61,31.3,60,32,61,33.9,66,36,42,20.8,32,17.3,44,25.8,35,21.9,41,25.4,39,24.5
Lee,97,23.8,95,23.4,108,28.9,95,23.7,88,24,98,26.5,103,29.6,75,21.1,68,19.4,84,25.8
Leon,33,21.1,26,19.1,27,21.7,24,17.8,18,13.6,27,20.9,25,20.8,26,19.7,35,28.8,25,20.6
Levy,4,17.5,3,13.7,8,33.7,6,27.7,4,12.5,12,47.2,11,50.6,12,56.9,7,42.4,5,18.3
Liberty,1,21.3,1,23.6,2,38,1,28,1,12.7,0,0,1,21.8,0,0,0,0,0,0
Madison,2,21,4,36,1,8.6,2,16,0,0,2,19.1,1,6.8,2,19.3,3,26.6,0,0
Manatee,55,24.7,56,26.4,49,22.3,49,23,58,29.4,43,21.5,44,25.6,48,27,45,28,40,23.8
Marion,67,34.9,65,33.2,76,43.3,69,37.2,52,27.9,61,37.5,50,26.6,58,30.3,57,33.3,55,33
Martin,23,22.2,23,21.1,34,33.5,23,26.6,26,33.3,13,12.9,17,21.6,23,30.2,27,29.1,32,37.4
Monroe,23,46.2,16,34.3,30,53.8,16,31.6,14,32.2,20,42.2,13,26.3,26,68.2,16,31.4,21,43.6
Nassau,15,35.1,10,24.7,14,35.1,12,28,16,45.7,13,27.2,11,29.5,16,32.2,16,46.1,13,30.9
Okaloosa,30,28.7,27,26.9,36,34.9,39,37.4,36,38.7,29,27.7,18,19.7,32,33.4,29,31.1,22,23.3
Okeechobee,4,17.1,7,34.5,5,16.6,5,21.3,7,25.3,3,13.6,7,31.1,3,12.5,5,23.3,9,42.1
Orange,102,14.4,108,15.4,112,16.7,114,17.8,97,15.4,101,16.5,100,15.9,84,14.4,94,17.2,92,17.4
Osceola,29,14.7,40,21.7,33,18.5,32,19,27,17,24,17.3,28,18.8,24,17.2,26,20.5,34,26.5
Palm Beach,138,17.3,172,21.5,190,24.5,142,18.3,156,21.6,156,21.6,177,23.5,151,21,147,21,143,20.6
Pasco,71,24.1,92,33.6,98,36.4,76,28,78,27.4,74,27,93,37,65,24.9,63,26.6,77,31.4
Pinellas,122,23.7,139,25.2,164,30,130,24.9,141,26.7,150,28.2,145,26.4,124,24.9,133,26.7,136,25.7
Polk,76,21.3,100,27.6,76,22.7,74,21.7,70,21.1,77,23.5,67,20.8,68,22.1,53,17.4,66,21.4
Putnam,19,53.6,10,22,16,39.5,16,41,11,33.2,10,24.6,11,32.8,14,40,8,20.8,8,27.2
St. Johns,30,23.9,39,27.4,49,39.8,41,31.4,31,23.2,32,30.5,32,29.5,32,27.4,30,30.1,20,19.7
St. Lucie,35,19.5,34,19.9,44,25.2,38,22.3,42,26.1,41,29.1,35,24.4,33,21.2,39,25.1,41,28.1
Santa Rosa,37,40.1,28,29.6,29,32.7,24,25.1,32,36,23,26.3,26,29.9,21,25.5,23,27,31,36.1
Sarasota,54,23.3,62,28.9,81,35.3,65,28.9,73,32.2,77,35.5,39,21.7,62,30.1,56,24.5,57,25.9
Seminole,48,19.5,40,16.6,56,23.1,48,21.1,53,22.1,45,18.9,44,19.8,49,22.4,40,18.8,35,16
Sumter,13,8.3,27,37.2,15,16.1,14,14.8,17,24.3,10,19.5,15,28.5,19,27.7,6,3.5,6,10.1
Suwannee,7,26.3,8,28.9,7,27.9,11,44.8,4,14,8,30.2,9,33.9,7,26.1,7,26.2,3,13.3
Taylor,3,19,1,5.7,6,40.1,6,44.5,4,29.2,4,25,2,14.4,6,36.7,2,14.2,1,6.8
Union,5,51.8,1,8.6,1,8,4,28,4,39.4,3,51,1,11,5,44.3,1,11,0,0
Volusia,87,29.2,105,34.4,100,31.1,96,36.6,71,24.5,97,35.2,82,30.9,68,24.5,88,30.7,85,32.2
Wakulla,3,14.7,3,13,4,22.3,6,31.8,6,34.7,4,29.2,5,26.4,3,28.8,4,29.4,7,41.8
Walton,5,14.2,13,33.8,9,23.6,10,26.2,14,42.7,9,30.5,7,18.6,11,31.1,10,27.6,13,35.5
Washington,4,25.8,3,22.7,7,48.7,5,35.4,7,41.2,3,23.5,4,26.8,1,6.7,3,25.3,7,48
